engine,ticker,code,name,lot_size,signal_date,entry_date,exit_date,hold_days,reason,entry_price,exit_price,net_ret,score,avg_value20,score_rank
TREND,1719.T,1719,1719,100,2026-01-28,2026-01-29,2026-02-03,4,TP,1996.9910000000002,2043.8454013375,0.02146249999999994,12.016213481199184,1979515710.0,0.2228813559322034
TREND,1719.T,1719,1719,100,2026-02-16,2026-02-17,2026-02-24,5,TIME,2081.117,2086.8650000000002,0.0007619783029979583,15.440232823868415,1979515710.0,0.2805084745762712
TREND,1721.T,1721,1721,100,2026-01-28,2026-01-29,2026-02-03,4,TP,4807.200000000001,4919.98893,0.02146249999999994,41.884046058458935,3088865035.0,0.5932203389830508
TREND,1723.T,1723,1723,100,2026-01-28,2026-01-29,2026-01-29,1,SL,9614.400000000001,9407.978832,-0.023470000000000102,201.9700593661526,1302164950.0,0.938135593220339
TREND,1801.T,1801,1801,100,2026-01-20,2026-01-21,2026-01-26,4,SL,15763.61,15425.165293300002,-0.02346999999999988,227.54799465870752,20997233700.0,0.9474576271186441
TREND,1801.T,1801,1801,100,2026-01-22,2026-01-23,2026-01-26,2,SL,15723.550000000001,15385.965381500002,-0.02346999999999999,161.93262641342844,20997233700.0,0.9161016949152543
TREND,1801.T,1801,1801,100,2026-02-16,2026-02-17,2026-02-18,2,TP,17140.6725,17542.83552853125,0.02146249999999994,212.65936136640144,20997233700.0,0.9423728813559322
TREND,1801.T,1801,1801,100,2026-02-17,2026-02-18,2026-02-18,1,TP,17516.235,17927.2096636875,0.02146249999999994,172.74418936446145,20997233700.0,0.923728813559322
TREND,1802.T,1802,1802,100,2026-01-28,2026-01-29,2026-01-29,1,SL,3510.2575,3434.892271475,-0.02346999999999999,26.030745526376933,15727462230.0,0.4440677966101695
TREND,1802.T,1802,1802,100,2026-02-16,2026-02-17,2026-02-17,1,TP,3961.934,4054.890876475,0.02146249999999994,73.32254772982525,15727462230.0,0.752542372881356
TREND,1802.T,1802,1802,100,2026-02-17,2026-02-18,2026-02-20,3,TP_GAP,3997.9880000000003,4127.799,0.030469081948219845,66.10026215914522,15727462230.0,0.7305084745762712
TREND,1802.T,1802,1802,100,2026-02-18,2026-02-19,2026-02-20,2,TP_GAP,4024.027,4127.799,0.023788097346265413,57.173264754731235,15727462230.0,0.6889830508474576
TREND,1803.T,1803,1803,100,2026-01-20,2026-01-21,2026-01-21,1,TP,2734.0950000000003,2798.2437039375004,0.021462500000000162,14.86594785457785,18826315860.0,0.27203389830508473
TREND,1803.T,1803,1803,100,2026-01-22,2026-01-23,2026-01-26,2,SL_GAP,2799.1925,2717.9170000000004,-0.031035337869760538,11.31934452985545,18826315860.0,0.21440677966101696
TREND,1803.T,1803,1803,100,2026-02-17,2026-02-18,2026-02-18,1,TP,3282.9170000000004,3359.9424401125007,0.021462500000000162,48.0105198904816,18826315860.0,0.6305084745762712
TREND,1808.T,1808,1808,100,2026-01-21,2026-01-22,2026-01-28,5,SL,3234.8450000000003,3165.3928778500003,-0.02346999999999999,22.51355290770061,2516158755.0,0.3949152542372881
TREND,1812.T,1812,1812,100,2026-01-26,2026-01-27,2026-01-27,1,SL,6415.609,6277.865874770001,-0.02346999999999988,57.18624212701727,19552757450.0,0.6898305084745763
TREND,1812.T,1812,1812,100,2026-01-28,2026-01-29,2026-02-02,3,TP,6359.525000000001,6508.7353553125,0.02146249999999994,49.00620876026914,19552757450.0,0.6347457627118644
TREND,1812.T,1812,1812,100,2026-02-16,2026-02-17,2026-02-18,2,TP,6795.177500000001,6954.609352093751,0.021462500000000162,106.51048446937007,19552757450.0,0.8516949152542372
TREND,1812.T,1812,1812,100,2026-02-17,2026-02-18,2026-02-19,2,TP,6901.3365,7063.25910763125,0.02146249999999994,90.12569536028634,19552757450.0,0.8025423728813559
TREND,1812.T,1812,1812,100,2026-02-18,2026-02-19,2026-02-20,2,TP,6960.425,7123.733971562499,0.02146249999999994,73.82764313310606,19552757450.0,0.7533898305084745
TREND,1812.T,1812,1812,100,2026-02-26,2026-02-27,2026-02-27,1,TP,6915.3575,7077.60907534375,0.02146249999999994,30.885299344192862,19552757450.0,0.5
TREND,1860.T,1860,1860,100,2026-01-28,2026-01-29,2026-02-02,3,TP,1341.50925,1372.984410778125,0.02146249999999994,10.759925547883563,1243309725.0,0.20254237288135593
TREND,1860.T,1860,1860,100,2026-02-16,2026-02-17,2026-02-24,5,TP_GAP,1520.277,1566.14725,0.028172297548407332,19.370116402116377,1243309725.0,0.3432203389830508
TREND,1860.T,1860,1860,100,2026-02-17,2026-02-18,2026-02-24,4,TP_GAP,1517.2725,1566.14725,0.03021224269206746,18.215708668378753,1243309725.0,0.3228813559322034
TREND,1861.T,1861,1861,100,2026-02-02,2026-02-03,2026-02-04,2,TP,1756.631,1797.8459548375001,0.02146249999999994,19.015287508041276,2124910975.0,0.33728813559322035
TREND,186A.T,186A,186A,100,2026-01-22,2026-01-23,2026-01-23,1,TP,916.3725000000001,937.87288978125,0.02146249999999994,25.29823237724842,6256660450.0,0.43135593220338986
TREND,186A.T,186A,186A,100,2026-01-23,2026-01-26,2026-01-26,1,TP,934.3995000000001,956.32284826875,0.02146249999999994,25.766836920133894,6256660450.0,0.4398305084745763
TREND,186A.T,186A,186A,100,2026-02-05,2026-02-06,2026-02-06,1,SL,1035.5510000000002,1013.3177200300001,-0.02346999999999999,34.99983652573046,6256660450.0,0.5313559322033898
TREND,186A.T,186A,186A,100,2026-02-09,2026-02-10,2026-02-10,1,TP,1102.6515000000002,1128.52246081875,0.02146249999999994,35.79577522371602,6256660450.0,0.5398305084745763
TREND,186A.T,186A,186A,100,2026-02-13,2026-02-16,2026-02-16,1,TP,1014.5195000000001,1038.32266376875,0.02146249999999994,31.896340770791056,6256660450.0,0.5110169491525424
TREND,1878.T,1878,1878,100,2026-02-17,2026-02-18,2026-02-25,5,TP,3458.1795,3539.3170365187502,0.02146249999999994,38.31462970593756,5999136970.0,0.561864406779661
TREND,1885.T,1885,1885,100,2026-01-16,2026-01-19,2026-01-19,1,SL,3169.7475000000004,3101.6930211750005,-0.02346999999999999,40.90655262256677,4050074300.0,0.5838983050847457
TREND,1885.T,1885,1885,100,2026-01-20,2026-01-21,2026-01-21,1,TP,3184.77,3259.4926661249997,0.02146249999999994,45.283724939205605,4050074300.0,0.6101694915254238
TREND,1885.T,1885,1885,100,2026-01-26,2026-01-27,2026-01-27,1,SL,3154.7250000000004,3086.9930542500006,-0.02346999999999988,39.74388657635963,4050074300.0,0.5745762711864407
TREND,1885.T,1885,1885,100,2026-01-28,2026-01-29,2026-01-29,1,SL,3174.755,3106.5930101500003,-0.02346999999999999,39.29729196416974,4050074300.0,0.5703389830508474
TREND,1885.T,1885,1885,100,2026-02-16,2026-02-17,2026-02-19,3,SL,4206.3,4115.990739,-0.023470000000000102,106.57739599139408,4050074300.0,0.8525423728813559
TREND,1893.T,1893,1893,100,2026-01-20,2026-01-21,2026-01-21,1,TP,1652.4750000000001,1691.2461946875,0.02146249999999994,10.111012311219678,7353686500.0,0.188135593220339
TREND,1893.T,1893,1893,100,2026-01-22,2026-01-23,2026-01-27,3,SL,1677.5125,1641.4963066250002,-0.02346999999999988,8.327605947955387,7353686500.0,0.14322033898305084
TREND,1893.T,1893,1893,100,2026-01-28,2026-01-29,2026-01-29,1,SL,1637.95325,1602.7863937225002,-0.02346999999999988,10.490757979926418,7353686500.0,0.19745762711864406
TREND,1893.T,1893,1893,100,2026-02-17,2026-02-18,2026-02-18,1,SL,2088.62825,2043.7854014725003,-0.02346999999999999,39.93985722253203,7353686500.0,0.576271186440678
TREND,1893.T,1893,1893,100,2026-02-25,2026-02-26,2026-02-27,2,SL_GAP,2081.6177500000003,2031.9475000000002,-0.025861369360441033,27.52953506010768,7353686500.0,0.4652542372881356
TREND,1911.T,1911,1911,100,2026-01-20,2026-01-21,2026-01-22,2,TP,1662.49,1701.496171625,0.02146249999999994,10.08929213510791,7665456642.5,0.18728813559322033
TREND,1911.T,1911,1911,100,2026-01-21,2026-01-22,2026-01-27,4,SL_GAP,1665.9952500000002,1625.558,-0.0262721280267757,10.461402061855628,7665456642.5,0.19661016949152543
TREND,1911.T,1911,1911,100,2026-02-17,2026-02-18,2026-02-18,1,TP,1762.64,1803.995941,0.02146249999999994,14.00901753605023,7665456642.5,0.2593220338983051
TREND,1925.T,1925,1925,100,2026-01-21,2026-01-22,2026-01-26,3,SL_GAP,5386.067,5263.0935,-0.024831780592406316,23.145291813921094,9120299485.0,0.4
TREND,1925.T,1925,1925,100,2026-02-17,2026-02-18,2026-02-25,5,TIME,5535.2905,5573.627,0.004925833431867812,22.023233995340053,9120299485.0,0.3864406779661017
TREND,1928.T,1928,1928,100,2026-01-21,2026-01-22,2026-01-28,5,SL,3567.3430000000003,3490.75214579,-0.02346999999999999,16.729171800136967,10994794585.0,0.3016949152542373
TREND,1942.T,1942,1942,100,2026-01-22,2026-01-23,2026-01-26,2,SL_GAP,5751.614500000001,5574.6255,-0.032772055394185484,74.71993573668902,14560116100.0,0.7584745762711864
TREND,1942.T,1942,1942,100,2026-01-27,2026-01-28,2026-01-29,2,TP,5469.1915,5597.512405568749,0.02146249999999994,64.21514999001417,14560116100.0,0.7211864406779661
TREND,1942.T,1942,1942,100,2026-01-28,2026-01-29,2026-01-29,1,SL,5581.3595000000005,5461.527711535001,-0.02346999999999988,61.00676042992383,14560116100.0,0.711864406779661
TREND,1944.T,1944,1944,100,2026-01-28,2026-01-29,2026-01-29,1,SL,7412.101500000001,7252.963680795001,-0.02346999999999999,64.0656051042749,6672521315.0,0.7203389830508474
TREND,1944.T,1944,1944,100,2026-02-17,2026-02-18,2026-02-24,4,TP,8012.0,8199.98155,0.021462500000000162,70.12052012079943,6672521315.0,0.7440677966101695
TREND,1950.T,1950,1950,100,2026-02-25,2026-02-26,2026-02-26,1,TP,4972.4475,5089.11354946875,0.02146249999999994,106.5840464090518,1038942450.0,0.8533898305084746
TREND,1959.T,1959,1959,100,2026-01-28,2026-01-29,2026-01-30,2,SL,8273.3915,8095.761784495,-0.02346999999999999,57.110937704268686,2337270605.0,0.6872881355932203
TREND,1961.T,1961,1961,100,2025-12-30,2026-01-05,2026-01-06,2,TP,5908.85,6047.486393125,0.02146249999999994,34.73795736740121,1800717950.0,0.5271186440677966
TREND,1961.T,1961,1961,100,2026-02-13,2026-02-16,2026-02-16,1,TP,7160.725,7328.733510312501,0.02146249999999994,129.1580510440836,1800717950.0,0.8898305084745762
